//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2017/09/01 09:00,2700,2708,2696,2706,8010,760908
2017/09/01 09:01,2708,2710,2704,2710,4176,761304
2017/09/01 09:02,2710,2710,2704,2704,3926,762120
2017/09/01 09:03,2704,2708,2704,2708,1492,761694
2017/09/01 09:04,2708,2708,2704,2704,2174,762044
2017/09/01 09:05,2706,2706,2700,2702,3558,763540
2017/09/01 09:06,2702,2706,2702,2706,2936,763250
2017/09/01 09:07,2704,2710,2704,2708,2686,762386
2017/09/01 09:08,2708,2710,2708,2710,2460,763180
2017/09/01 09:09,2710,2710,2708,2708,1890,763476
2017/09/01 09:10,2710,2710,2706,2708,2676,764100
2017/09/01 09:11,2706,2712,2706,2710,2920,765162
2017/09/01 09:12,2710,2710,2706,2706,2124,765244
2017/09/01 09:13,2708,2710,2706,2710,1154,765554
2017/09/01 09:14,2710,2710,2708,2708,2056,764546
2017/09/01 09:15,2710,2710,2704,2706,4130,764096
2017/09/01 09:16,2704,2706,2704,2704,450,764044
2017/09/01 09:17,2704,2706,2704,2706,1240,763710
2017/09/01 09:18,2704,2708,2704,2708,1896,763290
2017/09/01 09:19,2706,2706,2704,2706,918,763390
2017/09/01 09:20,2704,2706,2704,2706,348,763468
2017/09/01 09:21,2706,2706,2704,2706,604,763604
2017/09/01 09:22,2706,2710,2704,2708,4198,763854
2017/09/01 09:23,2708,2710,2706,2708,1172,764302
2017/09/01 09:24,2708,2708,2702,2702,3018,765414
2017/09/01 09:25,2704,2706,2704,2706,1346,765152
2017/09/01 09:26,2704,2706,2700,2700,3044,766560
2017/09/01 09:27,2702,2702,2698,2702,4758,767250
2017/09/01 09:28,2700,2702,2700,2702,1652,767684
2017/09/01 09:29,2702,2704,2700,2702,1320,767964
2017/09/01 09:30,2702,2708,2702,2708,3006,768676
2017/09/01 09:31,2706,2708,2704,2706,1782,769176
2017/09/01 09:32,2706,2708,2706,2708,782,769104
2017/09/01 09:33,2706,2708,2706,2706,880,768752
2017/09/01 09:34,2706,2708,2706,2708,704,768326
2017/09/01 09:35,2708,2708,2706,2708,396,768162
2017/09/01 09:36,2708,2708,2706,2708,744,767800
2017/09/01 09:37,2708,2708,2706,2706,768,767978
2017/09/01 09:38,2706,2708,2706,2708,1248,768116
2017/09/01 09:39,2708,2708,2706,2708,256,768168
2017/09/01 09:40,2708,2708,2706,2708,400,768188
2017/09/01 09:41,2706,2710,2706,2710,722,768112
2017/09/01 09:42,2710,2710,2708,2708,1210,768604
2017/09/01 09:43,2708,2708,2704,2706,1806,769558
2017/09/01 09:44,2706,2706,2702,2704,1100,769622
2017/09/01 09:45,2704,2706,2702,2704,1302,768936
2017/09/01 09:46,2706,2706,2702,2704,2388,768646
2017/09/01 09:47,2704,2704,2700,2700,3370,769632
2017/09/01 09:48,2700,2700,2696,2698,4808,767188
2017/09/01 09:49,2700,2702,2700,2702,1036,767420
2017/09/01 09:50,2702,2702,2694,2694,4616,767192
2017/09/01 09:51,2694,2698,2694,2696,3794,766272
2017/09/01 09:52,2696,2696,2694,2696,1728,766340
2017/09/01 09:53,2696,2696,2692,2696,3050,766526
2017/09/01 09:54,2696,2696,2694,2696,1280,766474
2017/09/01 09:55,2696,2698,2694,2698,1128,766532
2017/09/01 09:56,2698,2698,2694,2696,1092,766684
2017/09/01 09:57,2694,2698,2694,2696,972,766334
2017/09/01 09:58,2694,2696,2694,2696,350,766350
2017/09/01 09:59,2694,2696,2694,2694,712,766302
2017/09/01 10:00,2694,2700,2694,2700,1524,765894
2017/09/01 10:01,2700,2700,2696,2696,790,766166
2017/09/01 10:02,2696,2698,2696,2696,526,766086
2017/09/01 10:03,2696,2698,2696,2698,194,766158
2017/09/01 10:04,2698,2698,2696,2696,1300,766244
2017/09/01 10:05,2696,2698,2694,2698,1132,766288
2017/09/01 10:06,2696,2698,2696,2696,522,766308
2017/09/01 10:07,2696,2700,2696,2700,1444,765922
2017/09/01 10:08,2698,2700,2698,2700,336,765988
2017/09/01 10:09,2700,2702,2698,2700,882,766080
2017/09/01 10:10,2700,2702,2700,2702,1168,766082
2017/09/01 10:11,2700,2702,2700,2702,294,766130
2017/09/01 10:12,2702,2702,2700,2700,278,766098
2017/09/01 10:13,2702,2702,2700,2700,622,766152
2017/09/01 10:14,2702,2704,2700,2704,994,766216
2017/09/01 10:30,2704,2706,2702,2706,1466,766280
2017/09/01 10:31,2706,2706,2704,2704,810,766222
2017/09/01 10:32,2706,2706,2704,2706,1034,765748
2017/09/01 10:33,2706,2706,2704,2706,330,765588
2017/09/01 10:34,2706,2708,2704,2708,1854,764986
2017/09/01 10:35,2708,2708,2706,2706,470,764908
2017/09/01 10:36,2706,2708,2704,2706,1052,764904
2017/09/01 10:37,2706,2706,2704,2704,508,764928
2017/09/01 10:38,2706,2708,2704,2708,1742,765204
2017/09/01 10:39,2706,2706,2704,2704,404,765288
2017/09/01 10:40,2704,2706,2704,2706,276,765322
2017/09/01 10:41,2706,2706,2704,2706,598,765330
2017/09/01 10:42,2704,2706,2704,2706,282,765420
2017/09/01 10:43,2706,2706,2704,2704,318,765412
2017/09/01 10:44,2706,2706,2704,2706,108,765398
2017/09/01 10:45,2706,2706,2704,2706,248,765378
2017/09/01 10:46,2704,2706,2704,2704,238,765360
2017/09/01 10:47,2704,2706,2704,2704,300,765374
2017/09/01 10:48,2706,2706,2704,2706,274,765354
2017/09/01 10:49,2706,2708,2706,2708,1148,765464
2017/09/01 10:50,2708,2710,2706,2708,2918,765908
2017/09/01 10:51,2708,2708,2706,2706,384,765940
2017/09/01 10:52,2708,2708,2704,2704,2080,765842
2017/09/01 10:53,2704,2708,2704,2708,1388,765486
2017/09/01 10:54,2708,2708,2704,2708,1192,765356
2017/09/01 10:55,2706,2708,2704,2706,918,765692
2017/09/01 10:56,2704,2706,2704,2704,604,765836
2017/09/01 10:57,2704,2706,2704,2706,390,766002
2017/09/01 10:58,2704,2708,2704,2708,1444,766064
2017/09/01 10:59,2708,2708,2704,2704,1632,766574
2017/09/01 11:00,2702,2706,2702,2704,1256,766504
2017/09/01 11:01,2704,2706,2704,2704,354,766388
2017/09/01 11:02,2706,2706,2704,2704,220,766438
2017/09/01 11:03,2704,2708,2704,2706,896,766020
2017/09/01 11:04,2708,2708,2706,2708,204,766018
2017/09/01 11:05,2708,2708,2706,2708,734,766054
2017/09/01 11:06,2706,2710,2706,2710,1698,765924
2017/09/01 11:07,2710,2710,2708,2708,1212,765906
2017/09/01 11:08,2708,2710,2706,2708,1518,765930
2017/09/01 11:09,2708,2710,2706,2708,308,766046
2017/09/01 11:10,2706,2710,2706,2708,1356,765822
2017/09/01 11:11,2708,2710,2706,2708,1138,766166
2017/09/01 11:12,2708,2710,2706,2710,716,766138
2017/09/01 11:13,2708,2710,2706,2706,514,766316
2017/09/01 11:14,2706,2708,2706,2708,328,766340
2017/09/01 11:15,2706,2708,2706,2706,1064,766038
2017/09/01 11:16,2706,2708,2704,2704,1552,765528
2017/09/01 11:17,2704,2706,2704,2706,358,765514
2017/09/01 11:18,2706,2706,2704,2706,350,765518
2017/09/01 11:19,2704,2706,2704,2704,1210,765284
2017/09/01 11:20,2704,2706,2702,2702,670,765242
2017/09/01 11:21,2702,2706,2702,2706,1532,765640
2017/09/01 11:22,2706,2708,2704,2708,766,765494
2017/09/01 11:23,2708,2708,2706,2706,732,765560
2017/09/01 11:24,2708,2708,2706,2706,204,765446
2017/09/01 11:25,2708,2708,2706,2706,150,765456
2017/09/01 11:26,2708,2708,2706,2708,286,765562
2017/09/01 11:27,2708,2712,2706,2712,6902,762486
2017/09/01 11:28,2710,2716,2710,2714,5926,762682
2017/09/01 11:29,2714,2714,2710,2712,2218,762870
2017/09/01 13:30,2712,2716,2712,2712,3956,762112
2017/09/01 13:31,2714,2714,2708,2708,2054,762304
2017/09/01 13:32,2708,2710,2706,2708,2058,762522
2017/09/01 13:33,2708,2712,2706,2708,2912,762380
2017/09/01 13:34,2710,2712,2708,2712,2340,762350
2017/09/01 13:35,2712,2714,2710,2710,2986,762408
2017/09/01 13:36,2712,2712,2710,2712,1580,762284
2017/09/01 13:37,2712,2714,2710,2712,3524,761850
2017/09/01 13:38,2712,2712,2708,2708,2082,762910
2017/09/01 13:39,2708,2712,2708,2708,3524,762288
2017/09/01 13:40,2708,2710,2708,2708,1156,762190
2017/09/01 13:41,2708,2710,2706,2706,2260,762042
2017/09/01 13:42,2706,2708,2706,2706,606,761914
2017/09/01 13:43,2706,2708,2706,2708,846,761926
2017/09/01 13:44,2708,2710,2708,2710,812,762004
2017/09/01 13:45,2710,2710,2708,2708,980,762318
2017/09/01 13:46,2708,2712,2708,2710,2910,762700
2017/09/01 13:47,2710,2712,2708,2710,812,762650
2017/09/01 13:48,2712,2712,2710,2712,2866,762312
2017/09/01 13:49,2712,2712,2710,2710,864,761950
2017/09/01 13:50,2712,2712,2710,2710,512,761966
2017/09/01 13:51,2712,2714,2710,2712,1796,762002
2017/09/01 13:52,2710,2712,2708,2708,2450,761710
2017/09/01 13:53,2708,2708,2706,2706,2116,761422
2017/09/01 13:54,2704,2708,2704,2704,1668,761342
2017/09/01 13:55,2706,2706,2704,2706,968,761430
2017/09/01 13:56,2706,2710,2706,2708,3168,761276
2017/09/01 13:57,2708,2710,2708,2710,444,761120
2017/09/01 13:58,2708,2710,2708,2708,1166,761646
2017/09/01 13:59,2710,2710,2706,2708,4856,760684
2017/09/01 14:00,2710,2712,2708,2708,2142,760440
2017/09/01 14:01,2710,2710,2706,2706,1364,760180
2017/09/01 14:02,2708,2708,2704,2704,2518,759738
2017/09/01 14:03,2704,2706,2704,2706,2746,761356
2017/09/01 14:04,2706,2708,2704,2706,1274,761904
2017/09/01 14:05,2706,2706,2704,2704,644,761964
2017/09/01 14:06,2706,2706,2702,2702,1824,761640
2017/09/01 14:07,2702,2704,2702,2704,956,761676
2017/09/01 14:08,2704,2704,2698,2698,6824,763012
2017/09/01 14:09,2700,2702,2698,2702,1692,762532
2017/09/01 14:10,2702,2702,2698,2698,2020,763112
